car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
c5,citroen,citroen c5 x 1.6 hybrid feel pack e-eat8,2023,2600,38990,hibrido,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijrsmhzmbjvxcw1wodmtu1revlrmufqifq.hbzbxamypd4hrbzppwd5hjlajwrt0filsatlgwx6yzo/image;s=320x240
ds5,citroen,citroen ds5 2.0 hdi hybrid4 sport chic cmp6,2014,134215,16900,híbrido (diesel),automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ime2n3zvcxzxzdqzcjetu1revlrmufqifq.cp0dnlspnuxsveocgawman4p-mqju1weipuuj4oxuy4/image;s=320x240
tt,audi,audi tt coupe 2.0 tdi quattro limited edition,2011,127369,22250,diesel,manual,none
c1,citroen,citroen c1 1.0 vti feel,2019,41019,11950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imvzbtzszwvodhpkyzitu1revlrmufqifq.wn5rkdvh8n7c4wohawh9cudohawrr4az8ojvujiomms/image;s=320x240
c4,citroen,citroen c4 1.6 hdi collection,2014,273569,10800,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijh0ajhjbhdyb3bumditu1revlrmufqifq.21-z-p51yumw_3tkwieco_xp8xyppkb90nvbc_-pr6e/image;s=320x240
c3,citroen,citroen c3 1.2 puretech shine,2017,134000,11890,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im10dmnumg5panvhntmtu1revlrmufqifq.hrqxg-ou1ebfmpzi3wpj1gkaqd_rmnguvfnabex-rf8/image;s=320x240
c3,citroen,citroen c3 aircross 1.2 puretech shine,2019,86000,15990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imgxbza4cne4dgo4czitu1revlrmufqifq.yapxtyvto1uvc9ousvoddk9i0sssy3ihxjppy1ih2_i/image;s=320x240
c4,citroen,citroen c4 1.6 bluehdi feel edtion eat6,2017,94000,15390,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijjxbmznaxnqa29xbi1tverwvexqvcj9.mlcyb_onkygj3qqfsqtk6tvpwzcx3irg2s2spdavobk/image;s=320x240
a4,audi,audi a4 avant 2.0 tdi s tronic,2017,140031,26000,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imt4awzketfmywwyejetu1revlrmufqifq.fnnurkx_iofmufakns3-xxbd4svaro5yxa6qeyhkyq0/image;s=320x240
c4,citroen,citroen c4 1.5 bluehdi feel pack,2022,26500,23490,diesel,manual,none
c4,citroen,citroen c4 1.5 bluehdi feel pack,2022,36500,23490,diesel,manual,none
c4,citroen,citroen c4 cactus,2015,143000,13990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ineybnnzzhvjcwe5ejitu1revlrmufqifq.zn9nqw9tlphyau8gazsihw5y7vxwkidr_wqpzqhvz4a/image;s=320x240
c4,citroen,citroen c4 cactus 1.6 bluehdi shine,2019,91000,17250,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im1xzmqwmxoxzwo5djmtu1revlrmufqifq.g1qvs9zcjxrkp0qwwnkqbviq3v-xzhjijbb08lpopwm/image;s=320x240
c3,citroen,citroen c3 1.2 puretech c-series,2023,10764,18750,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6invnn2jnbdnzzgcycjetu1revlrmufqifq.3gfmtb5v4bxhulgurrruid2bktjyqatcfdpk8evdzp4/image;s=320x240
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2023,15000,20900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imzuynm3dgl3dnm4zjetu1revlrmufqifq.vck14op9i5pnso51mgfawbr_v6heqonrgzwjbglrkgo/image;s=320x240
q2,audi,audi q2 30 tdi,2019,88638,26000,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imnszxhjchf1mjr4otmtu1revlrmufqifq.8cutkwv0dmbtg8mrnjjmzomkitq8127podkefpqk-lo/image;s=320x240
