car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
clio,renault,renault clio 0.9 tce zen,2017,140000,11990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijhpem90dzjjzw1lntitu1revlrmufqifq.nc9w2odcdlg1hoohst2uc4rm0ffi6itj5sx7itrkz-y/image;s=320x240
clio,renault,renault clio 0.9 tce zen,2019,94000,13990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijntzgu2cnzrbdvuzs1tverwvexqvcj9.kag8jmo0zdway9inyojxd7xa9simjwf-5pnop1ozx8w/image;s=320x240
clio,renault,renault clio 0.9 tce,2017,73660,12990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6innvzmw1ajdmatvqbditu1revlrmufqifq.z-vu5xfcgxvfhtscifn1lhk_cclg1iydioamqtcha2s/image;s=320x240
clio,renault,renault clio sport tourer 0.9 tce limited,2016,87586,11500,gasolina,manual,none
polo,vw,vw polo 1.0 confortline,2020,14000,16350,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inizddnznzdyohbjyy1tverwvexqvcj9.misoqvvkapxkzkpkhtcm8chcyf6tnrs9bnzcp5lq0_q/image;s=320x240
clio,renault,renault clio 1.0 tce limited,2021,59000,15400,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inc4mznjmhdtoda5ztmtu1revlrmufqifq.e6aibvkef1hexr5kyu4zltqxn1rp-8jeceq7frfhcq8/image;s=320x240
polo,vw,vw polo 1.2 highline,2009,163000,6750,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijg4bza0b2x5enn1mtetu1revlrmufqifq.osikkt1imrml_askqfhlkeiumoai_1rnin_noql6s78/image;s=320x240
polo,vw,vw polo 1.4 tdi trendline ac,2009,193000,7350,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inblzhjrenrvodh6yi1tverwvexqvcj9.9g4e-qyrcymvti3avie1f1wwq6oae-htapfwit6xtu8/image;s=320x240
clio,renault,renault clio 1.0 tce limited,2021,49000,14950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ims3zdmyc3p6eth5bdetu1revlrmufqifq.vkcqvrznbzzzag2tsjrsmnnoqx1yzacgeavoixwbai8/image;s=320x240
polo,vw,vw polo 1.0 tsi trendline,2019,61000,15750,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijhzcmz3d2zpbdhmejitu1revlrmufqifq.q-fzp2c3ipgvlkjh83ozkboakxa4g04gdxgfk4apnua/image;s=320x240
clio,renault,renault clio 1.2 tce gt edc,2014,98297,14650,gasolina,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inu1nwttnhe0eg1hni1tverwvexqvcj9.nzvtviy0r_eiib3rl84nun2bmk1z_ytnkll_esk_ami/image;s=320x240
clio,renault,renault clio 1.5 dci limited,2019,129000,14350,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijkwnxbwbjhtewuybdmtu1revlrmufqifq.dmyiaoqu02cswp9w0urybeujscbcak9_1hknq2oqoru/image;s=320x240
clio,renault,renault clio 1.0 tce rs line,2022,29505,19990,gasolina,manual,none
clio,renault,renault clio 0.9 tce limited,2015,88614,10999,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inh0ewd0agt5ngtyodmtu1revlrmufqifq.7rlf9e7pucwpymb9j8sx4ahbpkfgaj8fvoav_sdhasw/image;s=320x240
clio,renault,renault clio 1.0 tce rs line,2022,32976,19990,gasolina,manual,none
clio,renault,renault clio 1.5 dci zen,2019,167332,12900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imnzbdu3n2l3mgu3ztmtu1revlrmufqifq.dtouizkhns82pmef29qjfmmjzy63g1_5u4vljbeugqo/image;s=320x240
clio,renault,renault clio 1.5 dci confort,2017,154000,12990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6injtzjkwehdpdhd5bditu1revlrmufqifq.yb0suijjul6d6vfdxrgahfep4rm2ertx7zbbpmc6ayu/image;s=320x240
